transactionId,fanId,matchId,numberOfTickets,totalAmount,status,mechanism,createdAt,durationMs
TXN00003079,FAN_SIM_78,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,12
TXN00003080,FAN_SIM_79,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,11
TXN00003085,FAN_SIM_84,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,13
TXN00003082,FAN_SIM_81,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,19
TXN00003081,FAN_SIM_80,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003083,FAN_SIM_82,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,19
TXN00003062,FAN_SIM_61,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,442
TXN00003084,FAN_SIM_83,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003087,FAN_SIM_86,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,13
TXN00003086,FAN_SIM_85,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,15
TXN00003089,FAN_SIM_88,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,13
TXN00003037,FAN_SIM_36,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,455
TXN00003088,FAN_SIM_87,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003090,FAN_SIM_89,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,21
TXN00003095,FAN_SIM_94,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,13
TXN00003094,FAN_SIM_93,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,18
TXN00003007,FAN_SIM_4,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,472
TXN00003091,FAN_SIM_90,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003096,FAN_SIM_95,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,12
TXN00003092,FAN_SIM_91,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003093,FAN_SIM_92,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003100,FAN_SIM_99,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,16
TXN00003098,FAN_SIM_97,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,20
TXN00003099,FAN_SIM_98,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,18
TXN00003102,FAN_SIM_101,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,14
TXN00003101,FAN_SIM_100,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,20
TXN00003097,FAN_SIM_96,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003030,FAN_SIM_52,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,500
TXN00003103,FAN_SIM_102,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003104,FAN_SIM_103,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003106,FAN_SIM_105,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,20
TXN00003107,FAN_SIM_106,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,19
TXN00003108,FAN_SIM_107,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,19
TXN00003105,FAN_SIM_104,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,21
TXN00003110,FAN_SIM_109,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003109,FAN_SIM_108,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003111,FAN_SIM_110,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,18
TXN00003114,FAN_SIM_113,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,12
TXN00003116,FAN_SIM_115,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,16
TXN00003112,FAN_SIM_111,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003018,FAN_SIM_8,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,526
TXN00003113,FAN_SIM_112,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,24
TXN00003115,FAN_SIM_114,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003117,FAN_SIM_116,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003120,FAN_SIM_119,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,20
TXN00003121,FAN_SIM_120,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,19
TXN00003118,FAN_SIM_117,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003051,FAN_SIM_22,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,540
TXN00003119,FAN_SIM_118,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003122,FAN_SIM_121,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,22
TXN00003124,FAN_SIM_123,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,22
TXN00003125,FAN_SIM_124,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003123,FAN_SIM_122,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003130,FAN_SIM_129,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,14
TXN00003126,FAN_SIM_125,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003129,FAN_SIM_128,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003128,FAN_SIM_127,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003127,FAN_SIM_126,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,29
TXN00003131,FAN_SIM_130,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003132,FAN_SIM_131,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,36
TXN00003133,FAN_SIM_132,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,34
TXN00003134,FAN_SIM_133,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,33
TXN00003029,FAN_SIM_34,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,584
TXN00003138,FAN_SIM_137,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,29
TXN00003135,FAN_SIM_134,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,35
TXN00003136,FAN_SIM_135,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,38
TXN00003139,FAN_SIM_138,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,30
TXN00003137,FAN_SIM_136,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,38
TXN00003140,FAN_SIM_139,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,32
TXN00003141,FAN_SIM_140,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,32
TXN00003142,FAN_SIM_141,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,38
TXN00003144,FAN_SIM_143,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003143,FAN_SIM_142,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003146,FAN_SIM_145,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003015,FAN_SIM_11,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,609
TXN00003145,FAN_SIM_144,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003147,FAN_SIM_146,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003148,FAN_SIM_147,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003149,FAN_SIM_148,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003150,FAN_SIM_149,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,24
TXN00003152,FAN_SIM_151,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,24
TXN00003151,FAN_SIM_150,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003153,FAN_SIM_152,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003154,FAN_SIM_153,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003041,FAN_SIM_40,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,628
TXN00003155,FAN_SIM_154,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003157,FAN_SIM_156,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,24
TXN00003156,FAN_SIM_155,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003159,FAN_SIM_158,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003158,FAN_SIM_157,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003160,FAN_SIM_159,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003161,FAN_SIM_160,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003162,FAN_SIM_161,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003163,FAN_SIM_162,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,28
TXN00003165,FAN_SIM_164,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003166,FAN_SIM_165,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,24
TXN00003164,FAN_SIM_163,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,28
TXN00003167,FAN_SIM_166,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,22
TXN00003168,FAN_SIM_167,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,22
TXN00003036,FAN_SIM_35,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,655
TXN00003172,FAN_SIM_171,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,22
TXN00003169,FAN_SIM_168,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003170,FAN_SIM_169,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003173,FAN_SIM_172,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003174,FAN_SIM_173,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003171,FAN_SIM_170,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,32
TXN00003176,FAN_SIM_175,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003175,FAN_SIM_174,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,33
TXN00003180,FAN_SIM_179,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,24
TXN00003178,FAN_SIM_177,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003177,FAN_SIM_176,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,28
TXN00003182,FAN_SIM_181,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003050,FAN_SIM_48,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,677
TXN00003181,FAN_SIM_180,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,31
TXN00003183,FAN_SIM_182,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,28
TXN00003184,FAN_SIM_183,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,29
TXN00003186,FAN_SIM_185,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003179,FAN_SIM_178,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,40
TXN00003187,FAN_SIM_186,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003189,FAN_SIM_188,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,22
TXN00003188,FAN_SIM_187,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003191,FAN_SIM_190,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003190,FAN_SIM_189,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003194,FAN_SIM_193,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003008,FAN_SIM_12,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,702
TXN00003193,FAN_SIM_192,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003185,FAN_SIM_184,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,44
TXN00003196,FAN_SIM_195,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,26
TXN00003195,FAN_SIM_194,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,30
TXN00003192,FAN_SIM_191,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,37
TXN00003201,FAN_SIM_200,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003203,FAN_SIM_202,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,23
TXN00003197,FAN_SIM_196,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,30
TXN00003199,FAN_SIM_198,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,29
TXN00003202,FAN_SIM_201,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003204,FAN_SIM_203,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003198,FAN_SIM_197,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,35
TXN00003200,FAN_SIM_199,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,35
TXN00003205,FAN_SIM_204,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,27
TXN00003207,FAN_SIM_206,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003210,FAN_SIM_209,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003040,FAN_SIM_39,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,727
TXN00003208,FAN_SIM_207,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,30
TXN00003211,FAN_SIM_210,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,28
TXN00003212,FAN_SIM_211,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,27
TXN00003206,FAN_SIM_205,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,42
TXN00003213,FAN_SIM_212,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,34
TXN00003217,FAN_SIM_216,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,31
TXN00003218,FAN_SIM_217,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,30
TXN00003219,FAN_SIM_218,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,29
TXN00003215,FAN_SIM_214,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,39
TXN00003221,FAN_SIM_220,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,31
TXN00003209,FAN_SIM_208,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,52
TXN00003216,FAN_SIM_215,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,42
TXN00003220,FAN_SIM_219,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,37
TXN00003214,FAN_SIM_213,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,45
TXN00003039,FAN_SIM_38,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,758
TXN00003226,FAN_SIM_225,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,26
TXN00003227,FAN_SIM_226,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,25
TXN00003230,FAN_SIM_229,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,24
TXN00003223,FAN_SIM_222,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,46
TXN00003232,FAN_SIM_231,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,27
TXN00003224,FAN_SIM_223,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,47
TXN00003233,FAN_SIM_232,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,27
TXN00003225,FAN_SIM_224,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,52
TXN00003236,FAN_SIM_235,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,27
TXN00003235,FAN_SIM_234,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,27
TXN00003229,FAN_SIM_228,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,41
TXN00003222,FAN_SIM_221,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,59
TXN00003238,FAN_SIM_237,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,26
TXN00003241,FAN_SIM_240,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,26
TXN00003228,FAN_SIM_227,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,51
TXN00003031,FAN_SIM_55,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,804
TXN00003234,FAN_SIM_233,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,53
TXN00003242,FAN_SIM_241,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,46
TXN00003044,FAN_SIM_9,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,815
TXN00003239,FAN_SIM_238,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,58
TXN00003240,FAN_SIM_239,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,67
TXN00003237,FAN_SIM_236,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,69
TXN00003245,FAN_SIM_244,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,52
TXN00003247,FAN_SIM_246,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,49
TXN00003243,FAN_SIM_242,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,58
TXN00003249,FAN_SIM_248,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,44
TXN00003231,FAN_SIM_230,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,79
TXN00003248,FAN_SIM_247,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,47
TXN00003251,FAN_SIM_250,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,46
TXN00003253,FAN_SIM_252,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,43
TXN00003255,FAN_SIM_254,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,34
TXN00003257,FAN_SIM_256,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,32
TXN00003254,FAN_SIM_253,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,54
TXN00003246,FAN_SIM_245,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,65
TXN00003258,FAN_SIM_257,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,31
TXN00003244,FAN_SIM_243,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,60
TXN00003250,FAN_SIM_249,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,63
TXN00003014,FAN_SIM_25,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,845
TXN00003252,FAN_SIM_251,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,63
TXN00003261,FAN_SIM_260,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,24
TXN00003265,FAN_SIM_264,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,25
TXN00003263,FAN_SIM_262,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,27
TXN00003269,FAN_SIM_268,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,28
TXN00003264,FAN_SIM_263,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,31
TXN00003270,FAN_SIM_269,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,30
TXN00003262,FAN_SIM_261,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,33
TXN00003260,FAN_SIM_259,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,36
TXN00003274,FAN_SIM_273,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,23
TXN00003276,FAN_SIM_275,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,26
TXN00003256,FAN_SIM_255,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,61
TXN00003273,FAN_SIM_272,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,26
TXN00003268,FAN_SIM_267,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,43
TXN00003047,FAN_SIM_46,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,870
TXN00003277,FAN_SIM_276,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,28
TXN00003275,FAN_SIM_274,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,32
TXN00003267,FAN_SIM_266,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,52
TXN00003282,FAN_SIM_281,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,26
TXN00003281,FAN_SIM_280,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,29
TXN00003272,FAN_SIM_271,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,46
TXN00003283,FAN_SIM_282,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,29
TXN00003266,FAN_SIM_265,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,57
TXN00003284,FAN_SIM_283,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,29
TXN00003288,FAN_SIM_287,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:08,23
